PaperID	Author	Title	Source	PubYear	Volume	Issue	StartPage	EndPage	StartYear	EndYear	Months	Areakm2	NumCams	CamDays
77	"Anton, Victor; Hartley, Stephen; Geldenhuis, Andre; Wittmer, Heiko U."	Monitoring the mammalian fauna of urban areas using remote cameras and citizen science	Journal of Urban Ecology	2018	4	1	juy002	Article No.: juy002	2014	2014	3			
78	"Anton, Victor; Hartley, Stephen; Wittmer, Heiko U."	Evaluation of remote cameras for monitoring multiple invasive mammals in New Zealand	NEW ZEALAND JOURNAL OF ECOLOGY	2018	42	1	74	79	2014	2016	1		40	160
79	"Antonio De la Torre, J.; Rivero, Marina; Camacho, Gamaliel; Arturo Alvarez-Marquez, Luis; Medellin, Rodrigo A."	"First assessment of the conservation status of the jaguar Panthera onca in the Sierra Madre de Chiapas, Mexico"	ORYX	2019	53	1	192	195	2015	2016	17	420	55	9274
80	"Antonio de la Torre, J.; Rivero, Marina; Camacho, Gamaliel; Arturo Alvarez-Marquez, Luis"	"Assessing occupancy and habitat connectivity for Baird's tapir to establish conservation priorities in the Sierra Madre de Chiapas, Mexico"	JOURNAL FOR NATURE CONSERVATION	2018	41		16	25	2015	2016	17	420	55	9274
81	"Anwar, Meraj; Hasan, Dabeer; Vattakavan, Joseph"	"Rusty-spotted cat in Katerniaghat Wildlife Sanctuary, Uttar Pradesh State, India."	Cat News	2012	56		12	13				200	80	3600
82	"Apps, Peter; McNutt, John"	How camera traps work and how to work them	AFRICAN JOURNAL OF ECOLOGY	2018	56	4	702	709						
83	"Apps, Peter; McNutt, John"	"Are camera traps fit for purpose? A rigorous, reproducible and realistic test of camera trap performance"	AFRICAN JOURNAL OF ECOLOGY	2018	56	4	710	720						
84	"Apps, Peter; Rafiq, Kasim; McNutt, J. Weldon"	Camera-trap records of groups of ten and eleven Honey Badgers Mellivora capensis in northern Botswana	Small Carnivore Conservation	2018	56		9	11	2017	2017				
86	"Arena, G.; Symes, C. T.; Witkowski, E. T. F."	Neighbourhood effects on reproductive success in the endangered montane Aloe peglerae	SOUTH AFRICAN JOURNAL OF BOTANY	2013	86		144	144						
87	"Ariefiandy, Achmad; Purwandana, Deni; Seno, Aganto; Ciofi, Claudio; Jessop, Tim S."	Can Camera Traps Monitor Komodo Dragons a Large Ectothermic Predator?	PLOS ONE	2013	8	3			2011	2012	7			
